,1Floor,2Floors,3Floors,4Floors,5Floors,6to10Floors,11PlusFloors
2001to2011,112532,292634,77080,12826,3794,4160,84
1991to2000,314366,118760,31448,11278,3286,3088,54
1981to1990,301618,201832,26500,11120,3840,5082,76
1971to1980,290888,240428,27288,11374,4840,9932,944
1961to1970,216434,231612,31578,14438,6774,10458,518
1945to1960,202094,187762,28398,10620,5906,7816,108
1919to1944,145382,117792,23688,7868,4748,4580,8
before1919,249064,224826,44204,23746,15392,10978,14
,,,,,,,
SUM,1832378,1615646,290184,103270,48580,56094,1806
